,SYMBOL,GO_accession,GO_term,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003,TSPAN6,GO:0016020,membrane,2714.84443410421,-0.0552522364876716,0.0562931010336175,-0.9815099092635821,0.326341350223128,0.7515733255566929
ENSG00000000005,TNMD,,,2.3621813963180096,0.0,2.1209620877223103,0.0,1.0,
ENSG00000000419,DPM1,GO:0004582,dolichyl-phosphate beta-D-mannosyltransferase activity,1428.9386449204,-0.119124611566351,0.065758073342691,-1.81155872596124,0.0700544072773669,0.41608284193924894
ENSG00000000457,SCYL3,GO:0000139,Golgi membrane,298.339051163745,0.17162831664506,0.116068276160128,1.47868411871889,0.139224758777259,0.5565785176787579
ENSG00000000460,C1orf112,,,984.958776127603,0.00048756070430542404,0.0787500089661923,0.00619124633388596,0.9950601316968709,1.0
ENSG00000000938,FGR,GO:0043306,positive regulation of mast cell degranulation,0.0,,,,,
ENSG00000000971,CFH,,,1531.3092401221697,0.722023623971778,0.0805929174752541,8.9588967193485,3.27943132401452e-19,5.42355475633448e-17
ENSG00000001036,FUCA2,,,2817.2936680022804,-0.00669997250431495,0.0523605181619175,-0.12795848359629,0.898181828172239,0.9834128276299459
ENSG00000001084,GCLC,,,6758.638382715911,-0.049580007831612,0.0608046965258175,-0.815397669332344,0.414844718000938,0.808146699750672
ENSG00000001167,NFYA,GO:0032993,protein-DNA complex,1542.52741829531,-0.0366237349250255,0.0771971573827523,-0.4744181802374,0.63520173118804,0.905327018535371
ENSG00000001460,STPG1,GO:1902110,positive regulation of mitochondrial membrane permeability involved in apoptotic process,353.59528680760496,0.126267072503411,0.115362072099525,1.0945284720135602,0.273723267098626,0.7113254966742791
ENSG00000001461,NIPAL3,GO:1903830,magnesium ion transmembrane transport,804.5113591178681,0.0745969094438443,0.0827140754059701,0.901864756121786,0.367128715341036,0.779534132810491
ENSG00000001497,LAS1L,,,4214.61721072671,0.0223037943147186,0.054086124177609,0.412375533537529,0.6800641932478849,0.9180426118417321
ENSG00000001561,ENPP4,GO:0046130,purine ribonucleoside catabolic process,424.746294943851,-0.265169234835949,0.10500213274490303,-2.52536998919976,0.011557653708111001,0.162017079024297
ENSG00000001617,SEMA3F,,,185.34557422227002,0.10979376529442401,0.22681521908490698,0.484067011629069,0.628338312044701,0.90276924510549
ENSG00000001626,CFTR,,,5.65385299078766,-1.2795228041295201,1.14850241614965,-1.11407933160395,0.265245154591651,
ENSG00000001629,ANKIB1,,,1995.8180798736898,0.16803261413943302,0.105031314989244,1.5998334797259297,0.109635529456122,0.5065037496522939
ENSG00000001630,CYP51A1,,,5807.1963648705105,0.0398304194225767,0.0356833623775477,1.11621822520958,0.26432873506129195,0.7022479991339581
ENSG00000001631,KRIT1,GO:2000352,negative regulation of endothelial cell apoptotic process,1028.50404009369,-0.179954056045589,0.117753467704633,-1.5282272323136699,0.126456129677569,0.537719177680071
ENSG00000002016,RAD52,GO:2000819,regulation of nucleotide-excision repair,309.588685438791,0.0249564280485814,0.17860022142320603,0.139733466452123,0.888870583398936,0.9803467025257661
ENSG00000002079,MYH16,,,10.623150140004801,0.0414878752611811,0.5943191130596689,0.0698074053980756,0.9443469529042829,
ENSG00000002330,BAD,,,1204.4042970781,-0.275166392690625,0.0803938654220622,-3.4227287274473,0.000619959143687144,0.0224283136044318
ENSG00000002549,LAP3,GO:0008235,metalloexopeptidase activity,3003.03325444417,1.4529563522169,0.0430763567882387,33.7297873021055,2.1156512670002487e-249,2.0993305286548188e-246
ENSG00000002586,CD99,GO:2000391,positive regulation of neutrophil extravasation,6564.0988609139795,-0.0155045314904727,0.0707480835965818,-0.219151257564549,0.826532223330048,0.9639175324463589
ENSG00000002587,HS3ST1,GO:0008146,sulfotransferase activity,79.6008324874245,-0.617849301532562,0.387856235305927,-1.59298535202154,0.11116347713525802,0.509329874767771
ENSG00000002726,AOC1,,,0.30687974938296003,0.613397291837006,5.26764854489356,0.116446130870221,0.907298976889943,
ENSG00000002745,WNT16,GO:0060317,cardiac epithelial to mesenchymal transition,1.07756429590691,0.0,2.46371085006135,0.0,1.0,
ENSG00000002746,HECW1,GO:0016567,protein ubiquitination,390.57770342928904,-0.0265064407438924,0.191689797337111,-0.13827778583999098,0.8900208811750759,0.980660698071396
ENSG00000002822,MAD1L1,GO:0090235,regulation of metaphase plate congression,751.259285774957,-0.0558640726354156,0.10538735555243302,-0.53008325659734,0.59605420731361,0.890820443149899
ENSG00000002834,LASP1,GO:0015075,ion transmembrane transporter activity,30202.722053163598,-0.0412225479423944,0.0221605163307556,-1.8601799401751,0.0628600721438624,0.3960327084909461
ENSG00000002919,SNX11,,,917.4433864186011,0.0337671419527758,0.0915756343449607,0.36873500461462,0.7123252545694799,0.9291119019431059
ENSG00000002933,TMEM176A,,,0.560210216337525,2.055439117698,4.04393321161195,0.508277216793765,0.611258945510953,
ENSG00000003056,M6PR,GO:0005794,Golgi apparatus,7650.84387684729,0.0267785415127863,0.056811571977787,0.47135716510813197,0.637385699549592,0.9063456345161651
ENSG00000003096,KLHL13,GO:0097602,cullin family protein binding,491.548295381856,-0.0879620978839232,0.187032717859875,-0.47030326506736897,0.638138365084394,0.9063456345161651
ENSG00000003137,CYP26B1,GO:0009954,proximal/distal pattern formation,364.57425221173304,-0.00481321177082314,0.122871021737887,-0.0391728798437995,0.9687525557842042,1.0
ENSG00000003147,ICA1,GO:0051049,regulation of transport,133.529145153249,0.0704276196796689,0.337167017125248,0.208880513521603,0.834541516575948,0.9663624863110011
ENSG00000003249,DBNDD1,,,1740.94780701776,0.0466809327345325,0.0547084286318632,0.8532676573229991,0.393510891415757,0.795488044598632
ENSG00000003393,ALS2,,,1247.6083146067099,-0.26301597189695297,0.116580110741972,-2.25609643208428,0.0240645925401021,0.24701608394606897
ENSG00000003400,CASP10,GO:0035877,death effector domain binding,347.25921850873596,0.18087203044937197,0.132376861037264,1.3663417385192098,0.17183172619998097,0.603714299537212
ENSG00000003402,CFLAR,GO:0004197,cysteine-type endopeptidase activity,2489.8409529397304,0.018748694192395998,0.0580059880190306,0.323219978362318,0.746528651714522,0.942027071452279
ENSG00000003436,TFPI,,,1345.91304563589,0.0818272795063682,0.0669167768540817,1.22282159053776,0.22139708884696302,0.657690835656019
