,SYMBOL,GO_accession,GO_term,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003,TSPAN6,GO:0016020,membrane,4332.134029604779,-0.0287374478483457,0.0617116476779216,-0.46567299577429794,0.6414495845284489,0.9995897451989609
ENSG00000000005,TNMD,,,7.66846137403942,-0.0441348991809378,0.794982801528638,-0.0555167974653952,0.9557267481452539,0.9995897451989609
ENSG00000000419,DPM1,GO:0004582,dolichyl-phosphate beta-D-mannosyltransferase activity,1487.9063246735998,-0.0651238915684565,0.0730062520873822,-0.8920317055929509,0.3723759384753139,0.9995897451989609
ENSG00000000457,SCYL3,GO:0000139,Golgi membrane,366.87289709720903,0.17639240579844798,0.129670933538638,1.3603079810163399,0.17373248384022597,0.9995897451989609
ENSG00000000460,C1orf112,,,1422.1637021588,0.0797038291068898,0.0833649753072957,0.956082921071944,0.33903034268285104,0.9995897451989609
ENSG00000000938,FGR,GO:0043306,positive regulation of mast cell degranulation,0.0,,,,,
ENSG00000000971,CFH,,,8.33039578311099,0.4401224383022229,0.782932292910278,0.562146231912622,0.574016391497475,0.9995897451989609
ENSG00000001036,FUCA2,,,3357.40559196154,0.0295663845360621,0.056777324094420004,0.5207428318899551,0.6025459324197889,0.9995897451989609
ENSG00000001084,GCLC,,,1475.9714617666102,0.0511595390198284,0.0910944508030105,0.561609829894684,0.5743818815606,0.9995897451989609
ENSG00000001167,NFYA,GO:0032993,protein-DNA complex,2764.6287662471004,-0.144594981480551,0.0817846318369737,-1.76799697244809,0.0770614097972896,0.9382914265486508
ENSG00000001460,STPG1,GO:1902110,positive regulation of mitochondrial membrane permeability involved in apoptotic process,354.706315413638,0.0118770970129509,0.12345341262618302,0.096207117813055,0.92335607784324,0.9995897451989609
ENSG00000001461,NIPAL3,GO:1903830,magnesium ion transmembrane transport,907.254246441265,0.0756871129963429,0.0895733140535472,0.8449739054100079,0.39812540861442103,0.9995897451989609
ENSG00000001497,LAS1L,,,3914.50804208231,0.00180843283396207,0.062496084815378,0.0289367380261408,0.976915045173263,0.9995897451989609
ENSG00000001561,ENPP4,GO:0046130,purine ribonucleoside catabolic process,697.041887737265,0.20296206995604701,0.0920953625652691,2.2038250819872203,0.0275366479190695,0.671979645827816
ENSG00000001617,SEMA3F,,,292.071112546186,-0.0726045380146574,0.21321999372400696,-0.340514680385167,0.7334689692727819,0.9995897451989609
ENSG00000001626,CFTR,,,0.28810296937991703,1.46682816677792,4.03984211847722,0.3630904683301911,0.716537304633274,
ENSG00000001629,ANKIB1,,,1099.12757222511,-0.0694398885920072,0.0874801654535323,-0.7937786609342009,0.42732429749920703,0.9995897451989609
ENSG00000001630,CYP51A1,,,5634.86724637902,0.0433169426574411,0.0514734046870146,0.8415402657125741,0.40004533738001896,0.9995897451989609
ENSG00000001631,KRIT1,GO:2000352,negative regulation of endothelial cell apoptotic process,1402.9326884962302,-0.0585023200910985,0.0780228085057165,-0.7498104876193,0.45336885140830896,0.9995897451989609
ENSG00000002016,RAD52,GO:2000819,regulation of nucleotide-excision repair,263.223211474561,0.117636233033935,0.168016785289638,0.7001457195550249,0.48383630607918204,0.9995897451989609
ENSG00000002079,MYH16,,,0.15219139894931,0.5938046916023381,4.0804728567969,0.14552349995742,0.8842975629555109,
ENSG00000002330,BAD,,,882.3309094899719,-0.204984956287846,0.0931821374041057,-2.1998310191027404,0.0278188863127882,0.671979645827816
ENSG00000002549,LAP3,GO:0008235,metalloexopeptidase activity,3250.0171692823305,0.358676124889722,0.0534492069385257,6.71059769515852,1.9382882266559998e-11,8.039815533829459e-09
ENSG00000002586,CD99,GO:2000391,positive regulation of neutrophil extravasation,8679.34484971225,-0.178366477295065,0.0636761748488071,-2.80114937366416,0.005092094289288029,0.295247801829319
ENSG00000002587,HS3ST1,GO:0008146,sulfotransferase activity,2.05231786597725,1.40432662935222,1.69626252721227,0.82789462528549,0.407730179060594,
ENSG00000002726,AOC1,,,0.289213895238024,1.47165902028473,4.03940276270005,0.36432589339049504,0.7156146664655679,
ENSG00000002745,WNT16,GO:0060317,cardiac epithelial to mesenchymal transition,3.22821891282613,-0.8808787652625308,1.2281249084811998,-0.717255027708783,0.473216751019831,0.9995897451989609
ENSG00000002746,HECW1,GO:0016567,protein ubiquitination,12.0404835000802,-0.0559537416022609,0.851731451975191,-0.0656941122374928,0.947621360042679,0.9995897451989609
ENSG00000002822,MAD1L1,GO:0090235,regulation of metaphase plate congression,1010.94945709196,-0.11937570760047801,0.106692929747336,-1.11887177419513,0.263194846090624,0.9995897451989609
ENSG00000002834,LASP1,GO:0015075,ion transmembrane transporter activity,2472.85924989401,0.0649969776350749,0.0557487005577697,1.1658922447478701,0.243658014914653,0.9995897451989609
ENSG00000002919,SNX11,,,749.3675402382,-3.55893436229886e-05,0.0974754451931885,-0.000365110859996109,0.9997086836883001,0.9998964076626541
ENSG00000002933,TMEM176A,,,0.0,,,,,
ENSG00000003056,M6PR,GO:0005794,Golgi apparatus,3546.53896697733,-0.0184860873789957,0.0590487654502933,-0.31306475652835,0.7542314643683149,0.9995897451989609
ENSG00000003096,KLHL13,GO:0097602,cullin family protein binding,1300.9241483312899,0.0953968613403458,0.080939889063476,1.1786136902848001,0.23855203770787697,0.9995897451989609
ENSG00000003137,CYP26B1,GO:0009954,proximal/distal pattern formation,225.984198595196,-0.0244596047200614,0.15892822817434302,-0.153903463223848,0.877685853383146,0.9995897451989609
ENSG00000003147,ICA1,GO:0051049,regulation of transport,81.3425486646159,0.14029728578439002,0.34718213351988597,0.404102838939303,0.6861370974262659,0.9995897451989609
ENSG00000003249,DBNDD1,,,1051.98089434492,-0.0812570532009714,0.0808813006190259,-1.00464572872926,0.31506746955571696,0.9995897451989609
ENSG00000003393,ALS2,,,1467.44915274661,-0.0376495402609562,0.0994560952350669,-0.37855437790887103,0.7050188060716359,0.9995897451989609
ENSG00000003400,CASP10,GO:0035877,death effector domain binding,454.630638060458,0.222355405121144,0.12909213429405,1.7224551002825401,0.08498710966422299,0.9602629552168341
ENSG00000003402,CFLAR,GO:0004197,cysteine-type endopeptidase activity,736.2758800710401,-0.0102446985224886,0.0975226261875135,-0.105049452860205,0.916336568060855,0.9995897451989609
ENSG00000003436,TFPI,,,186.60515073689098,0.15610822081411801,0.17628795914061102,0.8855296843592321,0.37587101685976704,0.9995897451989609
ENSG00000003509,NDUFAF7,GO:0035243,protein-arginine omega-N symmetric methyltransferase activity,642.7269374961139,0.047194453724049006,0.10148812000257303,0.465024415890771,0.6419139719215351,0.9995897451989609
ENSG00000003756,RBM5,,,3657.8926550082106,0.0517211783261047,0.0851859306544239,0.607156345288091,0.543747160119345,0.9995897451989609
ENSG00000003987,MTMR7,,,99.7051817520281,0.111790294578488,0.226279391185341,0.49403657130632,0.621280351836758,0.9995897451989609
ENSG00000003989,SLC7A2,GO:1903352,L-ornithine transmembrane transport,2007.33847554433,0.0817839061681867,0.0642293173175183,1.27331115421774,0.202907650179112,0.9995897451989609
ENSG00000004059,ARF5,,,3763.00718836984,-0.11535779816650901,0.052361371912452,-2.2031087794908597,0.0275870825485013,0.671979645827816
ENSG00000004139,SARM1,GO:0009967,positive regulation of signal transduction,1221.32691988092,-0.0663233923519168,0.0925265848612652,-0.7168036348835569,0.473495268572194,0.9995897451989609
ENSG00000004142,POLDIP2,GO:0003677,DNA binding,6119.4736405472495,-0.0101648824093839,0.0478294756288241,-0.21252339223343103,0.831698730208549,0.9995897451989609
ENSG00000004399,PLXND1,GO:0016020,membrane,445.004874024723,0.193235041079535,0.134336048734714,1.4384451746167901,0.150307782794882,0.9995897451989609
ENSG00000004455,AK2,GO:0016310,phosphorylation,14537.8943704102,-0.0995061007274374,0.0585646887246331,-1.6990801606631598,0.0893040809232044,0.9700971216482059
