,SYMBOL,GO_accession,GO_term,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003,TSPAN6,GO:0016020,membrane,2714.84443410421,1.00151721940799,0.0541120590585387,18.5082075388139,1.7730301554299497e-76,1.40955105118006e-75
ENSG00000000005,TNMD,,,2.3621813963180096,5.25841135114317,1.78804035585819,2.9408795690292697,0.00327281750564,0.00498715048478476
ENSG00000000419,DPM1,GO:0004582,dolichyl-phosphate beta-D-mannosyltransferase activity,1428.9386449204,-0.14749128121411498,0.065124879389996,-2.26474555646965,0.0235282981269871,0.0328686777854393
ENSG00000000457,SCYL3,GO:0000139,Golgi membrane,298.339051163745,0.32043689379720197,0.109524302229434,2.92571499908709,0.00343665615378729,0.00523053774920303
ENSG00000000460,C1orf112,,,984.958776127603,0.656311132115389,0.0749403752298926,8.757777501140621,1.99137760841534e-18,5.9657501951382095e-18
ENSG00000000938,FGR,GO:0043306,positive regulation of mast cell degranulation,0.0,,,,,
ENSG00000000971,CFH,,,1531.3092401221697,-7.980584989486671,0.246504115736573,-32.3750577780013,6.161109437277237e-230,1.5840817790178693e-228
ENSG00000001036,FUCA2,,,2817.2936680022804,0.0734609908032334,0.0515514321928,1.4250038782335401,0.154156080045831,0.191706505638878
ENSG00000001084,GCLC,,,6758.638382715911,-2.86016887344248,0.0635476647298956,-45.008245158959106,0.0,0.0
ENSG00000001167,NFYA,GO:0032993,protein-DNA complex,1542.52741829531,1.31526698503477,0.0734646078633474,17.903409863445,1.1091798241217897e-71,8.298792023033999e-71
ENSG00000001460,STPG1,GO:1902110,positive regulation of mitochondrial membrane permeability involved in apoptotic process,353.59528680760496,-0.16368063375853198,0.113417675297621,-1.44316689024894,0.14897346406057901,0.185676768656099
ENSG00000001461,NIPAL3,GO:1903830,magnesium ion transmembrane transport,804.5113591178681,-0.00624384011021061,0.0801168928225847,-0.077934127126439,0.937880452435935,0.948812703118221
ENSG00000001497,LAS1L,,,4214.61721072671,-0.385873093424981,0.0539811494174771,-7.1482933873958805,8.78633693789761e-13,2.17210652770702e-12
ENSG00000001561,ENPP4,GO:0046130,purine ribonucleoside catabolic process,424.746294943851,1.83639672472574,0.0914842536154389,20.073364017868897,1.2616875080788098e-89,1.1595012470939097e-88
ENSG00000001617,SEMA3F,,,185.34557422227002,0.260030138509573,0.22399999422974803,1.16084886253555,0.245703367995525,0.293451991902825
ENSG00000001626,CFTR,,,5.65385299078766,-2.87233314185021,1.5027566723255898,-1.91137606955698,0.0559562697190158,0.0744577033012288
ENSG00000001629,ANKIB1,,,1995.8180798736898,-1.07865701492877,0.10611339787539899,-10.165135002041401,2.83728693454665e-24,9.88273475713664e-24
ENSG00000001630,CYP51A1,,,5807.1963648705105,-0.200846199674336,0.0353418025923098,-5.682964222035429,1.3237997076775301e-08,2.78404780130007e-08
ENSG00000001631,KRIT1,GO:2000352,negative regulation of endothelial cell apoptotic process,1028.50404009369,0.18457825779433604,0.116325926175033,1.5867336187515602,0.11257298877838401,0.142911067880486
ENSG00000002016,RAD52,GO:2000819,regulation of nucleotide-excision repair,309.588685438791,-0.22439640204661604,0.178561611486322,-1.25668893878573,0.208866295011404,0.25310306323110604
ENSG00000002079,MYH16,,,10.623150140004801,-5.40197746136387,1.30038750176526,-4.15412902233431,3.26528902157177e-05,5.7738046384222704e-05
ENSG00000002330,BAD,,,1204.4042970781,-0.5863231385757249,0.0819270732767768,-7.1566469437389895,8.26742545665065e-13,2.04581409909219e-12
ENSG00000002549,LAP3,GO:0008235,metalloexopeptidase activity,3003.03325444417,-0.45680828249165006,0.0394041309754267,-11.5929033627598,4.476950230767749e-31,1.82190984688517e-30
ENSG00000002586,CD99,GO:2000391,positive regulation of neutrophil extravasation,6564.0988609139795,0.29449263208418397,0.0703954990977105,4.1834014370069506,2.8717962851772698e-05,5.0972665109611e-05
ENSG00000002587,HS3ST1,GO:0008146,sulfotransferase activity,79.6008324874245,-5.606908003416719,0.591126187945225,-9.485128755514161,2.42084030866244e-21,7.846892106343979e-21
ENSG00000002726,AOC1,,,0.30687974938296003,0.827542433871167,5.233149802497151,0.158134673208912,0.874350679071511,
ENSG00000002745,WNT16,GO:0060317,cardiac epithelial to mesenchymal transition,1.07756429590691,3.59600375844538,2.21099531943342,1.62641853053171,0.103860651458325,0.13249363380988902
ENSG00000002746,HECW1,GO:0016567,protein ubiquitination,390.57770342928904,-7.2669962532364,0.319357694850279,-22.7550372839562,1.2793341791950197e-114,1.5014454957940498e-113
ENSG00000002822,MAD1L1,GO:0090235,regulation of metaphase plate congression,751.259285774957,0.612160118015511,0.102760777780691,5.95713784224137,2.56693726994929e-09,5.56623374856036e-09
ENSG00000002834,LASP1,GO:0015075,ion transmembrane transporter activity,30202.722053163598,-4.116651918625649,0.0267383894118392,-153.960354725138,0.0,0.0
ENSG00000002919,SNX11,,,917.4433864186011,-0.6338699572219321,0.0918036226684139,-6.90462902004871,5.033479230979639e-12,1.20939449665887e-11
ENSG00000002933,TMEM176A,,,0.560210216337525,-2.51697035981856,4.04394464577137,-0.6224047508786931,0.533675757278568,
ENSG00000003056,M6PR,GO:0005794,Golgi apparatus,7650.84387684729,-1.58871090099383,0.0576688505897775,-27.5488567007341,4.567162282219148e-167,8.029540644786858e-166
ENSG00000003096,KLHL13,GO:0097602,cullin family protein binding,491.548295381856,4.25744347175252,0.155756349448426,27.333996250099897,1.6736773505293695e-164,2.893884103072749e-163
ENSG00000003137,CYP26B1,GO:0009954,proximal/distal pattern formation,364.57425221173304,-1.4511379142741998,0.128189737480695,-11.3202346989183,1.04192598140998e-29,4.12412615378116e-29
ENSG00000003147,ICA1,GO:0051049,regulation of transport,133.529145153249,-0.6984909409475172,0.33653760857487103,-2.0755211992662703,0.0379382561982345,0.0516764243055419
ENSG00000003249,DBNDD1,,,1740.94780701776,-1.03282572022754,0.0566257670599811,-18.239500740599603,2.507380660391579e-74,1.9354150416350097e-73
ENSG00000003393,ALS2,,,1247.6083146067099,0.0511853447356365,0.11608622958062301,0.44092520637934796,0.6592671447870401,0.703977976236407
ENSG00000003400,CASP10,GO:0035877,death effector domain binding,347.25921850873596,0.408293791767449,0.128492085990178,3.17757929308316,0.0014851007440474801,0.0023304738435432
ENSG00000003402,CFLAR,GO:0004197,cysteine-type endopeptidase activity,2489.8409529397304,-3.11562179717087,0.0627984800177632,-49.613012867342995,0.0,0.0
ENSG00000003436,TFPI,,,1345.91304563589,-3.67562231835006,0.0849772208243193,-43.254207218061296,0.0,0.0
ENSG00000003509,NDUFAF7,GO:0035243,protein-arginine omega-N symmetric methyltransferase activity,665.088719976849,-0.37952701756632296,0.0830122030164955,-4.5719424828528705,4.83223594729682e-06,8.96695264646486e-06
ENSG00000003756,RBM5,,,1950.9619487751897,2.0572331119361,0.10659787979119399,19.2990059086151,5.475240071767478e-83,4.665491923222559e-82
ENSG00000003987,MTMR7,,,32.663454303483,7.378510050950039,1.05130780351475,7.0184108082162595,2.2440593272267598e-12,5.46038068244235e-12
ENSG00000003989,SLC7A2,GO:1903352,L-ornithine transmembrane transport,829.400570301976,3.12270515475721,0.0892587192294845,34.984875222427505,3.821088017533298e-268,1.2227481656106595e-266
ENSG00000004059,ARF5,,,3218.7496332441497,0.28770893034089395,0.0677689612664291,4.24543810269993,2.18166730042543e-05,3.90662486002106e-05
ENSG00000004139,SARM1,GO:0009967,positive regulation of signal transduction,783.5051831962841,1.23172019374749,0.10402998009658901,11.840050268238699,2.4230769035679598e-32,1.0146242473118598e-31
ENSG00000004142,POLDIP2,GO:0003677,DNA binding,7252.69608878825,-0.501709495394623,0.0427471043590084,-11.7366896054772,8.265895763114e-32,3.41936334381131e-31
ENSG00000004399,PLXND1,GO:0016020,membrane,1607.18954453596,-2.7359594751160596,0.13923841607561202,-19.649458477251898,5.843291236893038e-86,5.139092322629799e-85
ENSG00000004455,AK2,GO:0016310,phosphorylation,7618.382396158309,1.27054246179091,0.0532054469534787,23.8799321223978,4.950887444882218e-126,6.387685962243978e-125
ENSG00000004468,CD38,GO:0050135,NAD(P)+ nucleosidase activity,386.4696615111,-9.344336439824689,0.5277096405157701,-17.7073445743606,3.68030442254184e-70,2.7080221789025794e-69
ENSG00000004478,FKBP4,,,10164.069266090999,-0.0712860602507907,0.0346191986107134,-2.0591481926658504,0.0394800443529641,0.0536737945386977
ENSG00000004487,KDM1A,,,3920.24170282209,0.532721296586751,0.0324838562698994,16.3995706716751,1.9259429442694796e-60,1.2649087066977697e-59
ENSG00000004534,RBM6,GO:0003676,nucleic acid binding,1804.2061069361498,1.51287570653248,0.0547580689529283,27.6283611796646,5.079358208655149e-168,9.010163633937438e-167
ENSG00000004660,CAMKK1,,,508.84298092241204,-0.0996466649401036,0.0783288948461658,-1.27215716672378,0.203317282987867,0.24709160511749498
ENSG00000004700,RECQL,,,2696.71833980417,-0.8324249360523829,0.0669698113571474,-12.4298533799519,1.7996412918489998e-35,8.034935474172508e-35
ENSG00000004766,VPS50,GO:1990745,EARP complex,843.83894986658,0.206451360841101,0.0923744597100486,2.23493984689193,0.0254212981163079,0.0353604672101751
