,SYMBOL,GO_accession,GO_term,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003,TSPAN6,GO:0016020,membrane,2021.88367258512,0.0249496744358439,0.0683614053789756,0.364967254513423,0.7151358498176651,0.84402563114319
ENSG00000000005,TNMD,,,0.0,,,,,
ENSG00000000419,DPM1,GO:0004582,dolichyl-phosphate beta-D-mannosyltransferase activity,1417.0452535819,-0.0450676938343353,0.0809006497463166,-0.5570745596686291,0.577476488444635,0.7483928496344109
ENSG00000000457,SCYL3,GO:0000139,Golgi membrane,286.24537999695804,0.0834475501579971,0.144313416780445,0.578238337222327,0.563103219027119,0.736265165818775
ENSG00000000460,C1orf112,,,812.522443590481,0.0421206068174147,0.0892588722828322,0.47189266164990606,0.637003406278078,0.792378656277543
ENSG00000000938,FGR,GO:0043306,positive regulation of mast cell degranulation,0.0,,,,,
ENSG00000000971,CFH,,,2887.3885685211103,0.55429461214149,0.0854708836821499,6.48518639637338,8.86221527597678e-11,1.1558202152665303e-09
ENSG00000001036,FUCA2,,,2659.7430802077397,-0.24191737518460102,0.0671890326285963,-3.6005485675297404,0.000317546503746703,0.0016299413325237
ENSG00000001084,GCLC,,,9451.96736550321,-0.23187977576834398,0.0611201548125272,-3.793834889319,0.000148338332751732,0.000821610522516159
ENSG00000001167,NFYA,GO:0032993,protein-DNA complex,1001.12963754453,0.115812412589868,0.0806643275437223,1.4357326976673201,0.151078417269566,0.29931416487149
ENSG00000001460,STPG1,GO:1902110,positive regulation of mitochondrial membrane permeability involved in apoptotic process,361.02484860197995,-0.0167951970762788,0.158921778251921,-0.10568216175919698,0.9158345339359159,0.9592409748799721
ENSG00000001461,NIPAL3,GO:1903830,magnesium ion transmembrane transport,789.1472857388029,0.045943087251963,0.0903799360680227,0.50833281423639,0.6112199612165611,0.7743328842106658
ENSG00000001497,LAS1L,,,4424.3058410308795,-0.11111287003513601,0.0586087255342151,-1.8958417713804299,0.0579809705091075,0.14382970338978
ENSG00000001561,ENPP4,GO:0046130,purine ribonucleoside catabolic process,303.39595865901697,1.1326709272338702,0.13602232199536599,8.32709595468055,8.284958964546899e-17,1.79004982060265e-15
ENSG00000001617,SEMA3F,,,137.687943308806,-2.4082091285645495,0.23047421302580398,-10.4489309105263,1.48186194381457e-25,5.4177147084739006e-24
ENSG00000001626,CFTR,,,5.4925683890701995,0.994875237865177,1.11371859755756,0.8932913933977479,0.371701145791758,0.5670160801605091
ENSG00000001629,ANKIB1,,,2554.95866620249,-0.00484882269855911,0.11509044408388301,-0.0421305412204778,0.966394633405497,0.9832556486029559
ENSG00000001630,CYP51A1,,,6150.91076395214,0.0159425875478533,0.0474981873352835,0.335646230777538,0.7371376572770341,0.859181271215026
ENSG00000001631,KRIT1,GO:2000352,negative regulation of endothelial cell apoptotic process,861.47883121246,-0.531334422334372,0.11990166055833802,-4.431418379529879,9.36152485978284e-06,6.48206592000921e-05
ENSG00000002016,RAD52,GO:2000819,regulation of nucleotide-excision repair,336.227048704232,0.17746377579821299,0.176647013113874,1.0046236993761801,0.3150780810628189,0.508027406921837
ENSG00000002079,MYH16,,,16.2016246143658,-0.189406081006918,0.6098799927628189,-0.31056287016219203,0.7561329575804109,0.870752018375867
ENSG00000002330,BAD,,,1288.88825513093,0.349670133924772,0.0976595674376228,3.58050053977675,0.00034293663492762996,0.00175116107728645
ENSG00000002549,LAP3,GO:0008235,metalloexopeptidase activity,4296.1735650049495,-0.146229319840539,0.0551560681060387,-2.65119187900433,0.008020825982889229,0.0279094350239596
ENSG00000002586,CD99,GO:2000391,positive regulation of neutrophil extravasation,5823.4178825320805,-0.187055946426327,0.0667130835886563,-2.80388697934709,0.00504906006546975,0.0187855959184992
ENSG00000002587,HS3ST1,GO:0008146,sulfotransferase activity,116.073911068769,0.6896423508315099,0.3850525187783129,1.7910345139919999,0.0732877566206395,0.172917064246546
ENSG00000002726,AOC1,,,0.43541747302198996,0.5767141358079821,3.97929851392975,0.14492859326566299,0.8847672506073779,
ENSG00000002745,WNT16,GO:0060317,cardiac epithelial to mesenchymal transition,0.0,,,,,
ENSG00000002746,HECW1,GO:0016567,protein ubiquitination,410.17425144721904,-0.0639796092514421,0.150934159386362,-0.42389085089523504,0.671645416837256,0.816060290293686
ENSG00000002822,MAD1L1,GO:0090235,regulation of metaphase plate congression,640.758349734122,-0.0608137841660771,0.11914768739265302,-0.5104067522994761,0.609766527303639,0.7732979389941921
ENSG00000002834,LASP1,GO:0015075,ion transmembrane transporter activity,42263.9928507555,0.16979522288994,0.0402903959571509,4.21428528700782,2.50570397306523e-05,0.000162060149674825
ENSG00000002919,SNX11,,,1016.9295024495699,-0.0976520182832651,0.10766325389777501,-0.907013440035769,0.364399689975188,0.559639119357072
ENSG00000002933,TMEM176A,,,1.53837290047007,1.3018606823296799,2.09662962621509,0.620930213926167,0.5346455405853111,
ENSG00000003056,M6PR,GO:0005794,Golgi apparatus,10031.4333286705,-0.28492380054114,0.0605415771980181,-4.706250047124089,2.52315010996114e-06,1.89945819050173e-05
ENSG00000003096,KLHL13,GO:0097602,cullin family protein binding,130.600507961494,1.56628823487678,0.20551420008662302,7.62131392486065,2.5110642222070997e-14,4.4611640411179907e-13
ENSG00000003137,CYP26B1,GO:0009954,proximal/distal pattern formation,457.770816767386,-1.1974460330242098,0.14495778412370902,-8.260653543119151,1.44877027518246e-16,3.0796605284295802e-15
ENSG00000003147,ICA1,GO:0051049,regulation of transport,153.49349285461,0.8941816669116479,0.27679456869801505,3.2304884850800897,0.0012357888215373302,0.00548722199813343
ENSG00000003249,DBNDD1,,,2049.47979393138,0.0932593999775244,0.0724364218845606,1.2874655808668798,0.19793205891056,0.365249238492884
ENSG00000003393,ALS2,,,1156.49532730188,-0.3819288947237371,0.10411345448291,-3.6683913392426097,0.00024408138854380097,0.00128930483299692
ENSG00000003400,CASP10,GO:0035877,death effector domain binding,322.365794110519,-0.6761292457495961,0.165253574175504,-4.09146518689834,4.28656302176683e-05,0.000265706343664777
ENSG00000003402,CFLAR,GO:0004197,cysteine-type endopeptidase activity,2770.5587954388398,-0.5492111344395789,0.06276906396529401,-8.749710442444169,2.13900885128215e-18,5.20547084701854e-17
ENSG00000003436,TFPI,,,1949.3638569278799,-0.374985260655562,0.0705026045764554,-5.31874336995473,1.04486389329883e-07,9.50062195207933e-07
ENSG00000003509,NDUFAF7,GO:0035243,protein-arginine omega-N symmetric methyltransferase activity,686.929987443822,-0.389415729308585,0.10812770128432801,-3.601442781851,0.000316456076486909,0.00162592949643274
ENSG00000003756,RBM5,,,1018.9393589838198,-0.0829369208975065,0.11206214110521302,-0.740097592992074,0.459240779131997,0.6484217103441879
ENSG00000003987,MTMR7,,,0.33191583569765803,-1.82039544825136,4.03661528364165,-0.45097075652180607,0.6520106257504079,
ENSG00000003989,SLC7A2,GO:1903352,L-ornithine transmembrane transport,316.236982290329,0.9716908172551559,0.14936899260098002,6.50530475124044,7.75360309747575e-11,1.01626894042765e-09
ENSG00000004059,ARF5,,,3049.1909648577002,0.316769904246055,0.0735210675167995,4.3085596407271005,1.64321168252912e-05,0.000109413513127592
ENSG00000004139,SARM1,GO:0009967,positive regulation of signal transduction,591.564898190754,0.22624994982606197,0.116495924676998,1.94212759333319,0.0521216558271822,0.132115139164583
ENSG00000004142,POLDIP2,GO:0003677,DNA binding,7974.1732291604,0.0627820580672256,0.0607118122641948,1.0340995553554202,0.301089624124943,0.49151519622008794
ENSG00000004399,PLXND1,GO:0016020,membrane,2331.50439113938,-0.637247293833668,0.105725839210863,-6.02735621291898,1.66663408906741e-09,1.9060694281485e-08
ENSG00000004455,AK2,GO:0016310,phosphorylation,4754.91104471971,-0.11813392968307801,0.0538020704683476,-2.19571344847366,0.0281124599709688,0.0795001240432376
ENSG00000004468,CD38,GO:0050135,NAD(P)+ nucleosidase activity,519.488771210711,-1.58148023343811,0.134821264261203,-11.730198808803301,8.924880470994188e-32,4.310689974277749e-30
ENSG00000004478,FKBP4,,,10091.783390755601,-0.0808642311183781,0.0489514601998778,-1.6519268432074299,0.0985494651711832,0.216841773880422
ENSG00000004487,KDM1A,,,3297.8503895949602,-0.07126305047900501,0.0544549821265027,-1.3086598819086201,0.190649586899571,0.35542015763595597
ENSG00000004534,RBM6,GO:0003676,nucleic acid binding,1071.8721842194,-0.0141199608354741,0.0777556094700776,-0.181594111752256,0.855901270159843,0.927294873158496
ENSG00000004660,CAMKK1,,,480.57201995910003,-0.879251094983418,0.11434815352468901,-7.6892461126937,1.48004517751291e-14,2.67458049583969e-13
ENSG00000004700,RECQL,,,3018.48205839094,-0.208856737769407,0.0840986865464046,-2.48347205344477,0.0130108543083233,0.0422478274970515
ENSG00000004766,VPS50,GO:1990745,EARP complex,807.8060444311211,-0.28340180408064697,0.103876290678584,-2.72826265001659,0.00636688907844941,0.0229115165424994
ENSG00000004776,HSPB6,GO:0005829,cytosol,6.666078745982209,-0.7663713691916201,0.866197825164387,-0.8847532825959,0.376289711152281,0.571289022199282
ENSG00000004777,ARHGAP33,GO:0035091,phosphatidylinositol binding,168.475290264225,0.10245168141759099,0.214973391642369,0.4765784297064579,0.6336623463391999,0.7899647247676469
ENSG00000004779,NDUFAB1,,,2140.48220033683,0.0845265910555482,0.0901150456587051,0.937985332390307,0.348251947942946,0.5430241154912511
ENSG00000004799,PDK4,,,1509.6194508135097,-0.5473279919212609,0.0836170875430568,-6.5456476421691505,5.923810142423271e-11,7.82279744058806e-10
