,SYMBOL,GO_accession,GO_term,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003,TSPAN6,GO:0016020,membrane,1936.54199261322,-0.0550909739984008,0.0595995996621523,-0.9243514102559541,0.35530338413816104,0.53612932293
ENSG00000000005,TNMD,,,0.0,,,,,
ENSG00000000419,DPM1,GO:0004582,dolichyl-phosphate beta-D-mannosyltransferase activity,1381.11977636208,-0.21211319308456397,0.0751075595412178,-2.8241257521909,0.00474097796720434,0.015865065858217
ENSG00000000457,SCYL3,GO:0000139,Golgi membrane,249.75665183386397,0.16781887239496898,0.15060078663033402,1.1143293215785,0.265137932337417,0.43556053713027904
ENSG00000000460,C1orf112,,,781.864502794033,0.0758817233384285,0.0925035957087985,0.820311067445468,0.412038798725149,0.593433263165256
ENSG00000000938,FGR,GO:0043306,positive regulation of mast cell degranulation,0.0,,,,,
ENSG00000000971,CFH,,,1654.8270838020599,0.527492512855008,0.0680219951268839,7.75473450714077,8.852848840986999e-15,1.31614534617483e-13
ENSG00000001036,FUCA2,,,2493.1628269891503,-0.326661109757358,0.0601025871091689,-5.435059046027741,5.47782898409081e-08,4.3257907235191296e-07
ENSG00000001084,GCLC,,,8803.93346830808,-0.32965860458880497,0.035896672029684995,-9.18354226030178,4.17138723918558e-20,8.56972351590539e-19
ENSG00000001167,NFYA,GO:0032993,protein-DNA complex,997.340823238441,0.17742519414484303,0.0766232269782322,2.3155536661911498,0.0205826511661956,0.0563203638785907
ENSG00000001460,STPG1,GO:1902110,positive regulation of mitochondrial membrane permeability involved in apoptotic process,344.001198963671,0.0953527840933727,0.12118296635940302,0.786849727795708,0.431369839306823,0.611313120878298
ENSG00000001461,NIPAL3,GO:1903830,magnesium ion transmembrane transport,726.455485493044,0.10348920699524,0.103060281465098,1.00416188976049,0.31530058814328904,0.492898470444407
ENSG00000001497,LAS1L,,,4247.50110911413,-0.0751498003896404,0.0516953541359816,-1.45370510843128,0.14602808128997302,0.27902489884675896
ENSG00000001561,ENPP4,GO:0046130,purine ribonucleoside catabolic process,303.115239981474,0.856242734663405,0.142657328445203,6.00209427721272,1.9478853677092997e-09,1.79907926525204e-08
ENSG00000001617,SEMA3F,,,127.39239956883002,-3.03565175880808,0.270267086066425,-11.2320438385235,2.83835863035116e-29,9.0951866390097e-28
ENSG00000001626,CFTR,,,9.20746411765875,0.75221058613049,1.0011461673543,0.7513494139605358,0.45244239801145003,0.630729561869502
ENSG00000001629,ANKIB1,,,2442.0367783175197,0.12254737836022,0.0707869735121645,1.7312137004863102,0.0834136566800261,0.17945594240402601
ENSG00000001630,CYP51A1,,,5608.16982578286,-0.0167185625911813,0.0399457255108377,-0.418531954980899,0.675558228096686,0.8102467683539591
ENSG00000001631,KRIT1,GO:2000352,negative regulation of endothelial cell apoptotic process,880.237100079346,-0.47788718687223397,0.12133240475939501,-3.93866080392865,8.19376706629976e-05,0.000409586504128334
ENSG00000002016,RAD52,GO:2000819,regulation of nucleotide-excision repair,329.040556600514,-0.0165528375658904,0.167104896680251,-0.0990565680284257,0.9210933561162241,0.958761985666208
ENSG00000002079,MYH16,,,16.417457992611002,-0.107655921842473,0.6065014764595961,-0.17750314883140303,0.859113192097678,0.925641081388008
ENSG00000002330,BAD,,,1404.12529153978,0.135755364214512,0.0687531305670137,1.97453356807064,0.0483211044044903,0.11496907030536
ENSG00000002549,LAP3,GO:0008235,metalloexopeptidase activity,1533.66125547797,-0.0882413173975349,0.0650823421693245,-1.3558411460970101,0.17514971655143802,0.320529959095158
ENSG00000002586,CD99,GO:2000391,positive regulation of neutrophil extravasation,5376.27128489583,-0.340822894824635,0.0618567757129531,-5.50987164940874,3.59095444420742e-08,2.90271825072968e-07
ENSG00000002587,HS3ST1,GO:0008146,sulfotransferase activity,81.73678267237109,-0.5661128911564829,0.26223612163397303,-2.1587906640362,0.0308664111123052,0.0789124426498
ENSG00000002726,AOC1,,,0.158029805487031,0.7937901307283771,4.0804728567969,0.19453385884093102,0.84575788656607,
