,SYMBOL,GO_accession,GO_term,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003,TSPAN6,GO:0016020,membrane,1920.34756435803,-0.057908654519662,0.0732021243158311,-0.7910788800310591,0.428897962790575,0.950698978141343
ENSG00000000005,TNMD,,,0.0,,,,,
ENSG00000000419,DPM1,GO:0004582,dolichyl-phosphate beta-D-mannosyltransferase activity,1438.6308443560401,-0.121974471100705,0.0826614574557386,-1.4755906181065903,0.140053825244025,0.7626080744051209
ENSG00000000457,SCYL3,GO:0000139,Golgi membrane,251.147295812305,0.16873084259888801,0.14833470301200102,1.1375007949774099,0.255328992448516,0.874746383748492
ENSG00000000460,C1orf112,,,737.334291303923,-0.0025742780229455198,0.0987050808168439,-0.0260805016483632,0.97919312920332,0.999170267291653
ENSG00000000938,FGR,GO:0043306,positive regulation of mast cell degranulation,0.0,,,,,
ENSG00000000971,CFH,,,1797.61912712395,0.7196253107992729,0.0921102339101545,7.812653168389571,5.59965305196898e-15,9.29015380457253e-13
ENSG00000001036,FUCA2,,,2803.4642095777003,-0.009173216422704659,0.0630964426298976,-0.145384050833288,0.8844076564637241,0.9921181108465071
ENSG00000001084,GCLC,,,9847.43026385633,-0.0519566418155451,0.0622694340616372,-0.834384358851182,0.404064428323604,0.9393841861619822
ENSG00000001167,NFYA,GO:0032993,protein-DNA complex,934.2582537536929,-0.0390107385638557,0.0832376600937281,-0.468666929367409,0.639307728889768,0.978787191968191
ENSG00000001460,STPG1,GO:1902110,positive regulation of mitochondrial membrane permeability involved in apoptotic process,345.045889638342,0.123825164283612,0.131680899740592,0.940342635321787,0.34704183673155603,0.921052080903246
ENSG00000001461,NIPAL3,GO:1903830,magnesium ion transmembrane transport,717.83084016084,0.0718957020351392,0.10309423580234801,0.69737848557292,0.48556596201028795,0.960235011835516
ENSG00000001497,LAS1L,,,4407.512567013,0.0200696309080092,0.065183646844602,0.307893649397299,0.7581632582638709,0.9845083025792409
ENSG00000001561,ENPP4,GO:0046130,purine ribonucleoside catabolic process,199.36504762931,-0.26867479789081194,0.17132519445905997,-1.56821533890052,0.1168308858487,0.7216597250277551
ENSG00000001617,SEMA3F,,,215.891857160965,0.110116618456252,0.191517389603757,0.574969294872278,0.565312063360062,0.975529945852129
ENSG00000001626,CFTR,,,4.4561392627524805,-1.2655046322013501,1.24627940423116,-1.0154260977955,0.309902757906998,
ENSG00000001629,ANKIB1,,,2393.49512142543,0.16610977234192,0.10667820413441301,1.55711069275805,0.11944420677353099,0.7284389953599828
ENSG00000001630,CYP51A1,,,5762.38782139995,0.0374690894859875,0.0485247144072932,0.7721650697722809,0.44001666694334,0.956484516550807
ENSG00000001631,KRIT1,GO:2000352,negative regulation of endothelial cell apoptotic process,956.8691953111861,-0.182605351166918,0.12367586638483802,-1.4764832986793999,0.13981419551149998,0.762436111795502
ENSG00000002016,RAD52,GO:2000819,regulation of nucleotide-excision repair,317.180255389841,0.0229240080048136,0.15725347254198901,0.145777435844494,0.884097089181072,0.9921181108465071
ENSG00000002079,MYH16,,,15.846815945401001,0.0375544931280464,0.624186458157942,0.0601655044533885,0.9520238193811751,0.998617371831818
ENSG00000002330,BAD,,,1216.69081668091,-0.27760597745863,0.0955138952289392,-2.9064459866622596,0.00365560005032696,0.12482148162157598
ENSG00000002549,LAP3,GO:0008235,metalloexopeptidase activity,2960.23133327733,1.45141321401402,0.0640861072741046,22.6478604451061,1.4645195126512896e-113,1.1473696759671397e-110
ENSG00000002586,CD99,GO:2000391,positive regulation of neutrophil extravasation,5987.12815539282,-0.0178613311740414,0.079322766739977,-0.225172821222834,0.821844832062634,0.9882537034389879
ENSG00000002587,HS3ST1,GO:0008146,sulfotransferase activity,94.27688447575079,-0.621664251511559,0.35754795739798406,-1.7386877442557702,0.0820897029515873,0.631611029834087
ENSG00000002726,AOC1,,,0.15416326489640697,0.786103423747462,4.0804728567969,0.19265008035479,0.8472330210668059,
ENSG00000002745,WNT16,GO:0060317,cardiac epithelial to mesenchymal transition,0.0,,,,,
ENSG00000002746,HECW1,GO:0016567,protein ubiquitination,385.665453333692,-0.0292145765730798,0.160865548894918,-0.18160865874497198,0.8558898531606519,0.9882537034389879
ENSG00000002822,MAD1L1,GO:0090235,regulation of metaphase plate congression,616.0066509910009,-0.0580133054989465,0.11121259984146699,-0.521643281261693,0.601918722388745,0.978787191968191
ENSG00000002834,LASP1,GO:0015075,ion transmembrane transporter activity,38785.3290618329,-0.0435084983007581,0.0417711549306135,-1.04159194001292,0.297600907094947,0.9030212201515301
ENSG00000002919,SNX11,,,982.607276528496,0.0312045353114729,0.0919733881653605,0.33927787084857397,0.7344004115684741,0.980928234263036
ENSG00000002933,TMEM176A,,,0.33052433665641306,1.7379746695565,4.03561300235178,0.43065939884317206,0.666716044566995,
ENSG00000003056,M6PR,GO:0005794,Golgi apparatus,10596.080355395601,0.0244821721633532,0.0626137093884858,0.391003382525286,0.6957947356097829,0.978787191968191
ENSG00000003096,KLHL13,GO:0097602,cullin family protein binding,64.9658131352961,-0.10152225585207099,0.332933912545617,-0.304932156282401,0.760417824176722,0.9845083025792409
ENSG00000003137,CYP26B1,GO:0009954,proximal/distal pattern formation,567.336781812121,-0.006798091660529771,0.12752920310910001,-0.0533061565100039,0.957487974992429,0.9988488070679079
ENSG00000003147,ICA1,GO:0051049,regulation of transport,93.6060488418685,0.0676352670301329,0.34647290152559695,0.19521084255743998,0.8452278912162141,0.9882537034389879
ENSG00000003249,DBNDD1,,,1867.9719135905802,0.0446427629516781,0.07192304410097701,0.620701800232504,0.534795844722025,0.9704917002020329
ENSG00000003393,ALS2,,,1384.44073063638,-0.265544997031617,0.11331331787995698,-2.34345796239886,0.0191059151676854,0.33561599976353007
ENSG00000003400,CASP10,GO:0035877,death effector domain binding,343.679319831117,0.178219990380565,0.144691205686839,1.23172648630971,0.21805127238063898,0.84291640436178
ENSG00000003402,CFLAR,GO:0004197,cysteine-type endopeptidase activity,3091.59540410445,0.0162765436717411,0.06698360862920699,0.24299293520958498,0.808010870349748,0.9882537034389879
ENSG00000003436,TFPI,,,2031.8838830820498,0.079448446503839,0.0734173658722894,1.08214787550456,0.279186825419848,0.8950420427216309
ENSG00000003509,NDUFAF7,GO:0035243,protein-arginine omega-N symmetric methyltransferase activity,744.633412569084,0.0384130967035378,0.10152101876019001,0.378375800131359,0.705151442925148,0.9789699085373299
ENSG00000003756,RBM5,,,1035.63441664642,-0.10961433844128302,0.12419128306544099,-0.882625058181604,0.37743888507345796,0.9283902382332891
ENSG00000003987,MTMR7,,,0.31807877883068103,1.6983708956364298,4.0366487879278905,0.42073784093271205,0.6739465257526611,
ENSG00000003989,SLC7A2,GO:1903352,L-ornithine transmembrane transport,211.474844157168,-0.11053492131736099,0.180936752478228,-0.6109036434190539,0.541263372665908,0.9725433850172209
ENSG00000004059,ARF5,,,2650.75468300197,-0.0715328472956564,0.0893481036131179,-0.8006084561726959,0.42335835374714004,0.949006438490251
ENSG00000004139,SARM1,GO:0009967,positive regulation of signal transduction,515.568984089492,0.24487518278610798,0.124038518702251,1.97418661032159,0.0483605279323891,0.5170433395773689
ENSG00000004142,POLDIP2,GO:0003677,DNA binding,7367.533021117991,0.0623834739307341,0.0563406258618406,1.10725560776893,0.26818343150643803,0.885421104427816
ENSG00000004399,PLXND1,GO:0016020,membrane,2599.0081791592,0.399988172565099,0.13018168030913302,3.07253809918014,0.0021224673732597,0.08672065842548199
ENSG00000004455,AK2,GO:0016310,phosphorylation,4915.62713749454,-0.00585044499352529,0.0552267255427378,-0.105935033012194,0.915633898122146,0.9962820525244029
ENSG00000004468,CD38,GO:0050135,NAD(P)+ nucleosidase activity,671.922779393165,0.150791135694485,0.112166771256504,1.3443476530999898,0.17883599272286801,0.81050696050304
ENSG00000004478,FKBP4,,,10224.1665006675,-0.0530167875932132,0.0470535647939124,-1.12673264662133,0.259855535042575,0.8779307032032571
ENSG00000004487,KDM1A,,,3219.66231395725,0.00734768497002977,0.0570285230986131,0.12884228050802302,0.8974824493217429,0.9940456204095659
ENSG00000004534,RBM6,GO:0003676,nucleic acid binding,1090.9254055896001,-0.0566805470724488,0.0872391099157515,-0.6497148713138671,0.515876416046558,0.965500586488393
ENSG00000004660,CAMKK1,,,570.0272473943251,0.136946497317881,0.10945279431005601,1.25119233529973,0.210864313953573,0.839054332780273
ENSG00000004700,RECQL,,,3212.5281739711895,-0.10002939779024901,0.0852849171523391,-1.17288497345401,0.24084193620323102,0.8609574722553851
ENSG00000004766,VPS50,GO:1990745,EARP complex,788.1701737797459,0.0553031368924303,0.10966237092273699,0.504303677068904,0.61404799391987,0.978787191968191
ENSG00000004776,HSPB6,GO:0005829,cytosol,6.89064496263025,0.44629621276185105,0.8302706005644259,0.53753103200144,0.590900855475157,
ENSG00000004777,ARHGAP33,GO:0035091,phosphatidylinositol binding,178.142197210695,-0.675753703775522,0.219828863179748,-3.0739989917656,0.0021121014635465,0.0865838803457349
ENSG00000004779,NDUFAB1,,,2023.0359876620898,-0.0464404828422888,0.0887712946618292,-0.523147522171464,0.600871597200772,0.978787191968191
ENSG00000004799,PDK4,,,1624.9472074987198,0.178709135714227,0.0863063866838965,2.07063628290642,0.0383927987967011,0.47206180357212496
ENSG00000004809,SLC22A16,GO:1902603,carnitine transmembrane transport,0.0,,,,,
ENSG00000004838,ZMYND10,,,13.2196820298856,0.09100425914021902,0.6709849832031229,0.135627862647218,0.8921154777683871,0.993180111114692
ENSG00000004846,ABCB5,GO:0042626,ATPase-coupled transmembrane transporter activity,3.9693773751439,-0.38827264893385,1.31893234214983,-0.29438405331768197,0.768464450938499,
ENSG00000004848,ARX,,,56.225983127498104,0.45625727166950397,0.432257835091109,1.05552111409001,0.291187058142497,0.8991285075378779
ENSG00000004864,SLC25A13,GO:0043490,malate-aspartate shuttle,2704.24129530018,-0.0229708088523025,0.0705190381809821,-0.32573911166158503,0.744621749903239,0.9812712059711121
ENSG00000004866,ST7,,,920.746033660114,0.0169993187585408,0.09404700162153899,0.18075343674377697,0.856561113076282,0.9882537034389879
ENSG00000004897,CDC27,,,5546.73428707282,-0.0681947286176094,0.0867073633518203,-0.786492934180286,0.431578756978802,0.950698978141343
ENSG00000004939,SLC4A1,,,1.95928982489403,-0.477167478378009,1.52999144362598,-0.311875913009783,0.7551348287717778,
ENSG00000004948,CALCR,GO:0004948,calcitonin receptor activity,0.9648081182898479,1.7099975375748,2.5889013743733598,0.6605108848492529,0.5089260357113821,
ENSG00000004961,HCCS,GO:0018063,cytochrome c-heme linkage,1889.57437567603,-0.0246914087977875,0.0669379855447577,-0.36886991140893804,0.7122246914939631,0.9791183391574609
ENSG00000004975,DVL2,,,1923.2502188673498,0.033847325541298,0.0652963237572801,0.5183649491067139,0.6042036651733349,0.978787191968191
ENSG00000005001,PRSS22,,,2.19559597287312,0.5556067537594871,1.7741274586159799,0.31317183613905897,0.7541501144608391,
ENSG00000005007,UPF1,,,2571.51323957255,0.000861887866111449,0.0585477664196281,0.0147211058391888,0.9882546811577131,0.999170267291653
ENSG00000005020,SKAP2,,,1989.4663420617499,-0.138003995550121,0.067456034275999,-2.0458361810223202,0.0407724909889635,0.482495894945484
ENSG00000005022,SLC25A5,,,21191.451425779498,0.0172756274372208,0.0600176967954238,0.28784222587058694,0.7734675130030809,0.9862060459646881
ENSG00000005059,MCUB,,,567.661874439651,-0.343919717544925,0.13770536870269598,-2.4975040609160497,0.0125071032601806,0.26600010170826
ENSG00000005073,HOXA11,GO:0032993,protein-DNA complex,16.1019363113653,-0.26279209718798,0.5464432116265661,-0.48091382891507,0.630577743804076,0.978787191968191
ENSG00000005075,POLR2J,GO:0001055,RNA polymerase II activity,1886.1627618073398,0.0936836858641738,0.0990081954251017,0.9462215270355492,0.3440356085222331,0.920918024981826
ENSG00000005100,DHX33,,,2797.61671202326,-0.0686024412860022,0.0910250073967794,-0.753665868841549,0.451049881397657,0.956484516550807
ENSG00000005102,MEOX1,GO:0061056,sclerotome development,0.18421010107872304,-1.13744992789503,4.0804728567969,-0.27875444043215697,0.780433280273082,
ENSG00000005108,THSD7A,GO:0016021,integral component of membrane,779.3550974012579,-0.04538484417238,0.11739446066016901,-0.38660124095428205,0.699051439106193,0.978787191968191
ENSG00000005156,LIG3,,,2251.14622293092,-0.0886728245246766,0.0848846772326267,-1.04462698587719,0.296195402273885,0.9021183260517409
ENSG00000005175,RPAP3,,,2234.85241365232,-0.12435324493076101,0.0802785508205584,-1.5490220446146297,0.121376420856768,0.7313551101908091
ENSG00000005187,ACSM3,,,331.75340528255697,0.174204951655038,0.145106081117404,1.20053515547767,0.22993156771288298,0.853041709321246
ENSG00000005189,REXO5,,,168.958710815995,-0.118084820386841,0.18646963350665,-0.6332656860326229,0.526560157258358,0.9684663669007599
ENSG00000005194,CIAPIN1,GO:0005739,mitochondrion,2249.37019621495,0.0485159808719423,0.0690565965895057,0.702553894457566,0.482333803795364,0.959090707998057
