,SYMBOL,GO_accession,GO_term,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003,TSPAN6,GO:0016020,membrane,3337.46612806615,0.989127990105619,0.0686844712060913,14.4010425171316,5.09688506979961e-47,3.4861266599370003e-46
ENSG00000000005,TNMD,,,3.6533158028772497,5.15836149737321,1.66746973475672,3.09352631106423,0.00197793013540716,0.0033375435963606103
ENSG00000000419,DPM1,GO:0004582,dolichyl-phosphate beta-D-mannosyltransferase activity,1574.94017439523,-0.15987062604111302,0.0696651611512848,-2.29484326741078,0.0217421080440535,0.0328904532329692
ENSG00000000457,SCYL3,GO:0000139,Golgi membrane,349.423664747029,0.307751531013315,0.129394111846915,2.37840444685315,0.0173877427620995,0.0266442685234319
ENSG00000000460,C1orf112,,,1169.34882671254,0.644213719498008,0.0892088881488892,7.22140733805379,5.14522763400829e-13,1.47325097285356e-12
ENSG00000000938,FGR,GO:0043306,positive regulation of mast cell degranulation,0.0,,,,,
ENSG00000000971,CFH,,,1385.5764003086401,-7.993266074853059,0.256358993840812,-31.179971317162103,1.9911768955315686e-213,7.080884427538786e-212
ENSG00000001036,FUCA2,,,3396.39669529937,0.0610412475532924,0.0512417207314611,1.1912411738315098,0.233558920056254,0.296293222442849
ENSG00000001084,GCLC,,,6469.27200363189,-2.87112436544554,0.0854443710718388,-33.602264601276005,1.5545036322261293e-247,6.573177887246827e-246
ENSG00000001167,NFYA,GO:0032993,protein-DNA complex,1918.96427594524,1.30267788163503,0.0677334960665205,19.232402832945198,1.9822744498287695e-82,2.27563145406131e-81
ENSG00000001460,STPG1,GO:1902110,positive regulation of mitochondrial membrane permeability involved in apoptotic process,388.098264923114,-0.17594980631927498,0.12545431487308198,-1.40250103392041,0.16076568197571303,0.211832293761723
ENSG00000001461,NIPAL3,GO:1903830,magnesium ion transmembrane transport,922.744177020703,-0.0186999340946321,0.0870682421721272,-0.214773304572564,0.8299440670733359,0.863821234487375
ENSG00000001497,LAS1L,,,4606.53849755465,-0.398312499573026,0.0671146435405214,-5.93480764495962,2.9419020500536896e-09,7.127450764179928e-09
ENSG00000001561,ENPP4,GO:0046130,purine ribonucleoside catabolic process,494.11890879328104,1.82475808041484,0.11723796444907902,15.5645663841887,1.2672601985103297e-54,9.809904530837059e-54
