,SYMBOL,GO_accession,GO_term,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003,TSPAN6,GO:0016020,membrane,2983.3677050732103,0.982341223333507,0.05949036733533701,16.5126098112022,2.9772473269707103e-61,2.44688250754197e-60
ENSG00000000005,TNMD,,,3.6633627184815096,5.330770505892559,1.69729263438205,3.14074921313341,0.00168516266209129,0.00282298197284288
ENSG00000000419,DPM1,GO:0004582,dolichyl-phosphate beta-D-mannosyltransferase activity,1351.90676297303,-0.0369428573106271,0.0784548943900362,-0.470880212099538,0.637726279602574,0.694037223699051
ENSG00000000457,SCYL3,GO:0000139,Golgi membrane,292.459888887938,0.0997866779908373,0.148534428255186,0.67180840942412,0.501705674441143,0.5666742999151619
ENSG00000000460,C1orf112,,,1051.2143545062402,0.453695898872331,0.0900217439580343,5.03984791811889,4.65901926963593e-07,9.92046931398493e-07
ENSG00000000938,FGR,GO:0043306,positive regulation of mast cell degranulation,0.0,,,,,
ENSG00000000971,CFH,,,911.3182838554441,-8.37278077858274,0.37158473666915603,-22.5326283679879,1.9880297691096794e-112,2.84074405174851e-111
ENSG00000001036,FUCA2,,,2623.8676514891604,0.31650815606232596,0.0627367271803959,5.04502179643872,4.534696711507171e-07,9.659189467568371e-07
ENSG00000001084,GCLC,,,4807.2742151330895,-2.6777464942932903,0.0558452986148077,-47.949362985110206,0.0,0.0
ENSG00000001167,NFYA,GO:0032993,protein-DNA complex,1828.61451972195,1.19887966361305,0.0949469200935524,12.6268410016015,1.50187411248386e-36,8.020580243946709e-36
ENSG00000001460,STPG1,GO:1902110,positive regulation of mitochondrial membrane permeability involved in apoptotic process,334.78711277803797,-0.19179345113813,0.126617202016077,-1.5147503505390802,0.12983563817318902,0.17152957855899498
ENSG00000001461,NIPAL3,GO:1903830,magnesium ion transmembrane transport,787.878042114109,-0.15874663701613198,0.10488437368771199,-1.5135394476282298,0.13014268888108502,0.171846612157021
ENSG00000001497,LAS1L,,,3900.57392012876,-0.33759389202548995,0.0546204324076225,-6.180725364934631,6.380773569548031e-10,1.56320235550143e-09
ENSG00000001561,ENPP4,GO:0046130,purine ribonucleoside catabolic process,497.12672181670405,0.46526113493862803,0.108146758797258,4.3021274064334305,1.69165986731127e-05,3.28033481839241e-05
ENSG00000001617,SEMA3F,,,166.549310057747,3.4298363269131804,0.27560711149810496,12.444658297348699,1.4952289883376698e-35,7.851813015478608e-35
ENSG00000001626,CFTR,,,5.96057354566678,-5.9232547116231,1.6883339669117299,-3.50834303384763,0.000450907230925445,0.000792834530070203
ENSG00000001629,ANKIB1,,,1672.14030500272,-1.01150068224134,0.0920869451268535,-10.984191959543901,4.5529457465072e-28,2.0121915294670797e-27
ENSG00000001630,CYP51A1,,,5438.009433437321,-0.23503869864084803,0.0452406386424193,-5.1953001923466795,2.0438975523264197e-07,4.43636102709632e-07
ENSG00000001631,KRIT1,GO:2000352,negative regulation of endothelial cell apoptotic process,1020.5032846449301,0.49427845659053293,0.0887040319202943,5.572220855018981,2.5151228984169998e-08,5.70211111723289e-08
ENSG00000002016,RAD52,GO:2000819,regulation of nucleotide-excision repair,289.5806639684,-0.34826962123754607,0.19450119224052898,-1.7905783364394998,0.0733609860179858,0.10142491421328699
ENSG00000002079,MYH16,,,9.46005427352472,-6.663603113111219,1.4055857609806202,-4.7408015206858,2.12874393355471e-06,4.369821996386969e-06
ENSG00000002330,BAD,,,1187.5190593491802,-0.838868706538992,0.0777356405723208,-10.7913011375851,3.7839386877694796e-27,1.63157904514956e-26
ENSG00000002549,LAP3,GO:0008235,metalloexopeptidase activity,2041.0771020858103,0.678934804018252,0.0617525440846453,10.9944426433286,4.06416569991489e-28,1.79735347710416e-27
ENSG00000002586,CD99,GO:2000391,positive regulation of neutrophil extravasation,6555.9244708366505,0.7508341988059029,0.0601303346512448,12.4867789803721,8.815073040078471e-36,4.6453336711057097e-35
ENSG00000002587,HS3ST1,GO:0008146,sulfotransferase activity,48.414058738005295,-6.93831846567945,0.8961041915238559,-7.742758633770701,9.72826135252935e-15,2.88788132486192e-14
ENSG00000002726,AOC1,,,0.166128538640149,-0.934700025677357,4.0804728567969,-0.22906659558350304,0.818817156066879,
ENSG00000002745,WNT16,GO:0060317,cardiac epithelial to mesenchymal transition,1.74540048400675,3.3998770916902297,2.0141721771081,1.68797738859231,0.0914155695310906,0.12427888714179801
ENSG00000002746,HECW1,GO:0016567,protein ubiquitination,345.149520199055,-6.92029137142228,0.5945674456825439,-11.639203292534802,2.6043698594643396e-31,1.24977695182698e-30
ENSG00000002822,MAD1L1,GO:0090235,regulation of metaphase plate congression,797.1547478917059,0.9726640646867258,0.0993922520985454,9.786115558809849,1.29162979931923e-22,4.94931563914352e-22
ENSG00000002834,LASP1,GO:0015075,ion transmembrane transporter activity,25041.326564773597,-4.483233704656981,0.0357357694240494,-125.45507699744302,0.0,0.0
ENSG00000002919,SNX11,,,846.2471500954421,-0.657963938441369,0.0970500872506088,-6.779632631780469,1.20481847413569e-11,3.17782169387782e-11
ENSG00000002933,TMEM176A,,,0.16988577834465102,-0.934700025677357,4.0804728567969,-0.22906659558350304,0.818817156066879,
ENSG00000003056,M6PR,GO:0005794,Golgi apparatus,5826.45911285848,-1.33251705618182,0.0532087714904969,-25.0431840250212,2.0714079581823494e-138,3.7333225039280485e-137
ENSG00000003096,KLHL13,GO:0097602,cullin family protein binding,655.462526931198,2.63095716893481,0.120310331496529,21.868090098402902,5.230136785072699e-106,7.0467350087685e-105
ENSG00000003137,CYP26B1,GO:0009954,proximal/distal pattern formation,229.74534297517997,-0.21440206847836105,0.169228100292996,-1.26694129466178,0.20517628169368804,0.259586833110992
ENSG00000003147,ICA1,GO:0051049,regulation of transport,150.616247916206,-1.93255574052923,0.295408466987399,-6.54197816412509,6.07103689131601e-11,1.55442467978255e-10
ENSG00000003249,DBNDD1,,,1663.79072728809,-1.25191422534333,0.0705605148496141,-17.7424190853983,1.9725704327518196e-70,1.8300106347924693e-69
ENSG00000003393,ALS2,,,1103.4924495213302,0.5853628194939371,0.0934668212910696,6.26278728010905,3.7815632334568503e-10,9.36150931330503e-10
ENSG00000003400,CASP10,GO:0035877,death effector domain binding,298.77093980765,0.7589305895403291,0.14749920863571,5.145319738051731,2.6706554285809197e-07,5.76421646233743e-07
ENSG00000003402,CFLAR,GO:0004197,cysteine-type endopeptidase activity,1958.7946082775102,-2.81279464753794,0.0800927847035685,-35.1192015354239,3.433116064045698e-270,1.4218492003817894e-268
ENSG00000003436,TFPI,,,923.127411806578,-3.5109492173194803,0.110585701130182,-31.7486725809731,3.312053268304098e-221,1.0493825311041994e-219
