,SYMBOL,GO_accession,GO_term,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003,TSPAN6,GO:0016020,membrane,2714.84443410421,-0.0398290164118534,0.0562408712464713,-0.708186333695042,0.478829551790461,0.651319027045632
ENSG00000000005,TNMD,,,2.3621813963180096,0.0,2.1209620877223103,0.0,1.0,1.0
ENSG00000000419,DPM1,GO:0004582,dolichyl-phosphate beta-D-mannosyltransferase activity,1428.9386449204,-0.196716559403903,0.0660661079106034,-2.9775714905150403,0.0029054187696229603,0.0102418886184334
ENSG00000000457,SCYL3,GO:0000139,Golgi membrane,298.339051163745,0.183263286648752,0.116184276936471,1.57735014996013,0.11471497898685401,0.22915914829715803
ENSG00000000460,C1orf112,,,984.958776127603,0.09148235253442999,0.0781296262136856,1.17090477668771,0.241637054897846,0.402427230573818
ENSG00000000938,FGR,GO:0043306,positive regulation of mast cell degranulation,0.0,,,,,
ENSG00000000971,CFH,,,1531.3092401221697,0.542679024530885,0.0808558649573081,6.7116841161419805,1.92390835394146e-11,2.23781614997287e-10
ENSG00000001036,FUCA2,,,2817.2936680022804,-0.31144323215394704,0.0529737370088646,-5.879200708491269,4.12252259732363e-09,3.8083827749511496e-08
ENSG00000001084,GCLC,,,6758.638382715911,-0.31442944530102396,0.0609469956308255,-5.15906390539115,2.48187593971064e-07,1.8503642468573898e-06
ENSG00000001167,NFYA,GO:0032993,protein-DNA complex,1542.52741829531,0.19264246015560502,0.0766451613359486,2.51343276989425,0.0119562564201149,0.0352276608032772
ENSG00000001460,STPG1,GO:1902110,positive regulation of mitochondrial membrane permeability involved in apoptotic process,353.59528680760496,0.110456321718223,0.115406920271937,0.9571031048913801,0.33851521662017503,0.514552858458761
ENSG00000001461,NIPAL3,GO:1903830,magnesium ion transmembrane transport,804.5113591178681,0.11859528040833502,0.0825869099584871,1.4360057843058702,0.151000695335114,0.28291107803071697
ENSG00000001497,LAS1L,,,4214.61721072671,-0.0600124046511429,0.0541874172692828,-1.1074970477539599,0.268079087998707,0.4343676864806239
ENSG00000001561,ENPP4,GO:0046130,purine ribonucleoside catabolic process,424.746294943851,0.8707901906888621,0.0957471265874601,9.0946874514656,9.485890786460199e-20,2.0270102988643002e-18
ENSG00000001617,SEMA3F,,,185.34557422227002,-3.02034255463192,0.265415985008791,-11.379655805327198,5.280773659084289e-30,1.94286550883353e-28
ENSG00000001626,CFTR,,,5.65385299078766,0.765882271857272,1.01713153033077,0.75298252882615,0.451460412842267,0.625963954361996
ENSG00000001629,ANKIB1,,,1995.8180798736898,0.138300232249073,0.10498181667717,1.31737320448893,0.187713558152989,0.33345903833118395
ENSG00000001630,CYP51A1,,,5807.1963648705105,-0.0015318432333128699,0.0357653492284756,-0.0428303725912804,0.965836752371156,0.9937487359521121
ENSG00000001631,KRIT1,GO:2000352,negative regulation of endothelial cell apoptotic process,1028.50404009369,-0.46267317002227903,0.118364713507431,-3.90887753885562,9.27259503182287e-05,0.00046033851076142694
ENSG00000002016,RAD52,GO:2000819,regulation of nucleotide-excision repair,309.588685438791,-0.000802831842694225,0.17824558582429603,-0.00450407699568847,0.9964062786552741,1.0
ENSG00000002079,MYH16,,,10.623150140004801,-0.0920874824987735,0.591842664400309,-0.155594532192238,0.876352635128706,0.9427531144748421
ENSG00000002330,BAD,,,1204.4042970781,0.15072551495028302,0.0793888676927448,1.8985724237008699,0.0576207170364811,0.13289356979087
ENSG00000002549,LAP3,GO:0008235,metalloexopeptidase activity,3003.03325444417,-0.0734072957147231,0.0462866436387073,-1.58592824936082,0.11275558674179599,0.225938379116523
ENSG00000002586,CD99,GO:2000391,positive regulation of neutrophil extravasation,6564.0988609139795,-0.32578988321483504,0.0709430681060115,-4.59227225312559,4.38445870646315e-06,2.7492619173094605e-05
ENSG00000002587,HS3ST1,GO:0008146,sulfotransferase activity,79.6008324874245,-0.5537179412258441,0.390195726741826,-1.41907740981544,0.15587644910529402,0.289323648240622
ENSG00000002726,AOC1,,,0.30687974938296003,0.6253167326021031,5.26764854489356,0.118708893972868,0.9055059900058259,
ENSG00000002745,WNT16,GO:0060317,cardiac epithelial to mesenchymal transition,1.07756429590691,0.701970718842947,2.46371085006135,0.28492414961174,0.775702253785342,
ENSG00000002746,HECW1,GO:0016567,protein ubiquitination,390.57770342928904,-0.085253635408407,0.191946139060081,-0.4441539476953039,0.6569312850122261,0.795315495372302
ENSG00000002822,MAD1L1,GO:0090235,regulation of metaphase plate congression,751.259285774957,-0.32954886734399397,0.10577119275612,-3.1156769509429996,0.00183523202807993,0.0068503455763618895
ENSG00000002834,LASP1,GO:0015075,ion transmembrane transporter activity,30202.722053163598,0.228438247125814,0.0220969265463003,10.3380099783181,4.74283967681479e-25,1.3791721424469698e-23
ENSG00000002919,SNX11,,,917.4433864186011,0.0259632074546722,0.0917437933269955,0.282996882003052,0.7771792271512221,0.880644490809672
ENSG00000002933,TMEM176A,,,0.560210216337525,0.9868685041056829,4.09603556008471,0.24093260168993105,0.809607353793247,
ENSG00000003056,M6PR,GO:0005794,Golgi apparatus,7650.84387684729,-0.24320325291309,0.0569555417654582,-4.27005424537259,1.9542543081284e-05,0.00011002594780693701
ENSG00000003096,KLHL13,GO:0097602,cullin family protein binding,491.548295381856,1.41156810886781,0.168619641972107,8.371314826426389,5.6978854940489e-17,1.01613291992923e-15
ENSG00000003137,CYP26B1,GO:0009954,proximal/distal pattern formation,364.57425221173304,-1.24948417948816,0.128699387961745,-9.70854795253231,2.7725862973651196e-22,6.84012397909727e-21
ENSG00000003147,ICA1,GO:0051049,regulation of transport,133.529145153249,1.12918164359044,0.33052219395426596,3.4163564935874904,0.000634651043048512,0.00263320280768645
ENSG00000003249,DBNDD1,,,1740.94780701776,0.315629450029642,0.0541448106008517,5.8293573571883,5.56412349387395e-09,5.0791384040087804e-08
ENSG00000003393,ALS2,,,1247.6083146067099,-0.791759779063933,0.117764329688035,-6.72325636431131,1.7770751194676102e-11,2.07558449426293e-10
ENSG00000003400,CASP10,GO:0035877,death effector domain binding,347.25921850873596,-0.42392652340527004,0.137008058119338,-3.09417219121533,0.00197362903385884,0.00730411059895625
ENSG00000003402,CFLAR,GO:0004197,cysteine-type endopeptidase activity,2489.8409529397304,-0.306295331129079,0.0584178489986656,-5.24318057544494,1.57831934692995e-07,1.21250461313856e-06
ENSG00000003436,TFPI,,,1345.91304563589,-0.275100338323648,0.0679026651898192,-4.05139235042714,5.09137495794878e-05,0.000266934416940289
ENSG00000003509,NDUFAF7,GO:0035243,protein-arginine omega-N symmetric methyltransferase activity,665.088719976849,-0.31403058218054997,0.084798488947339,-3.7032568159978396,0.00021284921332921202,0.00098422406731792
ENSG00000003756,RBM5,,,1950.9619487751897,0.0984263901297293,0.10920168860219098,0.9013266313883219,0.3674146781110229,0.5443513973869339
ENSG00000003987,MTMR7,,,32.663454303483,0.7554807292356099,1.68311890729363,0.4488576095021021,0.653534377313746,0.7925204787659671
ENSG00000003989,SLC7A2,GO:1903352,L-ornithine transmembrane transport,829.400570301976,0.908954803977284,0.0979958782057407,9.27543913703134,1.7688886421816998e-20,3.9390357079319895e-19
ENSG00000004059,ARF5,,,3218.7496332441497,0.238846409287858,0.0682725476422335,3.49842531934618,0.000468014137699787,0.00199915983504068
ENSG00000004139,SARM1,GO:0009967,positive regulation of signal transduction,783.5051831962841,0.287356802293562,0.10887783607213901,2.63925894066418,0.0083087490389086,0.0257069961123381
ENSG00000004142,POLDIP2,GO:0003677,DNA binding,7252.69608878825,0.136730648414358,0.0427267409764052,3.20011883166713,0.00137370937319825,0.0052730000979830105
ENSG00000004399,PLXND1,GO:0016020,membrane,1607.18954453596,-0.43875523554643603,0.136048170979081,-3.2249991483817797,0.0012597304352965199,0.00488311449540959
ENSG00000004455,AK2,GO:0016310,phosphorylation,7618.382396158309,-0.0024915425547996,0.0543252649861813,-0.0458634220271797,0.963419108475534,0.991942149128829
ENSG00000004468,CD38,GO:0050135,NAD(P)+ nucleosidase activity,386.4696615111,-1.65982099575941,0.14895568930856198,-11.143052027513301,7.74198688923088e-29,2.7015543528524395e-27
ENSG00000004478,FKBP4,,,10164.069266090999,-0.0768921605064927,0.0348346203135181,-2.20734889068544,0.0272896940955421,0.0712842696207679
ENSG00000004487,KDM1A,,,3920.24170282209,0.011656388763896,0.0342278130217404,0.340553127262096,0.733440021176417,0.849954732839611
ENSG00000004534,RBM6,GO:0003676,nucleic acid binding,1804.2061069361498,0.0591501026664307,0.058898695865199004,1.00426846125434,0.315249231173836,0.48913917535012397
ENSG00000004660,CAMKK1,,,508.84298092241204,-0.6668211991274929,0.0857094035402346,-7.78002379650755,7.25109079638964e-15,1.11662839525112e-13
ENSG00000004700,RECQL,,,2696.71833980417,-0.20386626924215498,0.0666327196833712,-3.05955197703017,0.0022166831949348,0.00809213684018046
ENSG00000004766,VPS50,GO:1990745,EARP complex,843.83894986658,-0.0581791207957765,0.0946953295427602,-0.614382156719834,0.5389628239629191,0.703491980476176
ENSG00000004776,HSPB6,GO:0005829,cytosol,5.78150618180472,0.0230088585091584,0.7318092141167042,0.0314410615025258,0.974917794981897,0.998648728655445
ENSG00000004777,ARHGAP33,GO:0035091,phosphatidylinositol binding,187.71520413409098,-0.4981283383970279,0.21419051675007197,-2.3256320865889104,0.0200381863191978,0.0548038567010511
ENSG00000004779,NDUFAB1,,,2117.1860100742497,-0.0905229389956177,0.0809686884352234,-1.11799932473944,0.26356728176554,0.42940052720446703
ENSG00000004799,PDK4,,,956.335595199943,-0.704454429085792,0.0798662188999009,-8.820430449683721,1.14020550663157e-18,2.26754853046213e-17
ENSG00000004809,SLC22A16,GO:1902603,carnitine transmembrane transport,0.254358097071241,0.0,5.2676485448667405,0.0,1.0,
ENSG00000004838,ZMYND10,,,20.270455961700197,0.8442187056550821,0.504181330880668,1.67443468043623,0.0940452017572494,0.19627833204337
ENSG00000004846,ABCB5,GO:0042626,ATPase-coupled transmembrane transporter activity,6.61129602540934,0.16769530436076502,0.854410444604673,0.19627019475207397,0.8443986888035269,0.922782833025382
ENSG00000004848,ARX,,,42.426480275586705,-0.0548416308366597,0.40138210192345997,-0.13663197878992,0.891321698119841,0.951537779535746
ENSG00000004864,SLC25A13,GO:0043490,malate-aspartate shuttle,2814.23130815724,-0.0140160114574253,0.0587455379151822,-0.238588528675349,0.811424661071462,0.902657328362759
ENSG00000004866,ST7,,,930.8046960182139,-0.203992121983833,0.0757327142088664,-2.69357996890531,0.00706891855333545,0.0223115213719972
ENSG00000004897,CDC27,,,5569.657791781579,-0.126213212074097,0.083459813407157,-1.5122632908172,0.13046689575355802,0.253504218568682
ENSG00000004939,SLC4A1,,,2.8177260115270095,0.236566564104767,1.24678714059752,0.189740940054445,0.8495121379913771,0.9255870355608101
ENSG00000004948,CALCR,GO:0004948,calcitonin receptor activity,1.81329320074581,0.672325997718735,1.71012633467991,0.39314405262613294,0.69421308894534,0.822188941182114
ENSG00000004961,HCCS,GO:0018063,cytochrome c-heme linkage,1820.5125756663501,0.20850678193098102,0.0597111961955643,3.4919210335041,0.00047956000139093703,0.00204177948768307
ENSG00000004975,DVL2,,,2481.40383642648,0.45484479569161795,0.0495026083137054,9.18829959038116,3.99100031640746e-20,8.737864082131929e-19
ENSG00000005001,PRSS22,,,0.9977919431665251,-1.34316173642099,2.43523251144761,-0.551553796242051,0.5812540995091171,
ENSG00000005007,UPF1,,,3319.2911697094605,0.0362626903742915,0.0364924943967096,0.9937027044542379,0.32036762570525396,0.49451857875189
ENSG00000005020,SKAP2,,,1948.9686302114999,-0.0901371479029303,0.097624855210931,-0.9233012198397371,0.35585025237270795,0.533050953368358
ENSG00000005022,SLC25A5,,,24480.8796236209,0.0880566198620953,0.0499123857057506,1.76422382174271,0.0776943035743672,0.168490052000379
ENSG00000005059,MCUB,,,647.06945762201,-0.10297677527405999,0.120608489419349,-0.853810339303852,0.393210084762328,0.571302573729202
ENSG00000005073,HOXA11,GO:0032993,protein-DNA complex,341.247094402016,-1.79627664994447,0.41151493016008295,-4.36503397153952,1.2710300397713301e-05,7.369274543710191e-05
ENSG00000005075,POLR2J,GO:0001055,RNA polymerase II activity,2003.4799231657898,0.159734904377203,0.0763350197310532,2.09255077079941,0.0363892750583718,0.0904125409609445
ENSG00000005100,DHX33,,,2850.26478740773,0.0174534263708013,0.0764878473661944,0.22818561342485,0.819501945259818,0.9069612164253961
ENSG00000005102,MEOX1,GO:0061056,sclerotome development,4.31271616156405,-1.4341878695394499,1.8314013094393402,-0.783109557772733,0.433562779012212,0.6088297769666999
ENSG00000005108,THSD7A,GO:0016021,integral component of membrane,1677.1035597931,2.3627803160361203,0.117165726349738,20.1661389354022,1.9422328937717695e-90,3.3541172953258595e-88
ENSG00000005156,LIG3,,,2751.93870780711,-0.0221301222505432,0.0823262293812417,-0.268810103619122,0.788075817869681,0.8878574851302409
ENSG00000005175,RPAP3,,,2382.29269782357,0.0309247010817003,0.0628024520254727,0.492412319652061,0.622427891900886,0.7699683690913559
ENSG00000005187,ACSM3,,,327.890047376044,0.8253820296996329,0.19300020502609,4.27658628439309,1.89781020038236e-05,0.000107168968405976
ENSG00000005189,REXO5,,,207.59888495186698,0.0155224086041816,0.15572933883778198,0.0996755570917231,0.9206019064978209,0.9667576734654449
ENSG00000005194,CIAPIN1,GO:0005739,mitochondrion,2358.4433527839396,0.0162456943706535,0.0530449504061096,0.306262787433625,0.759404570056834,0.868389388083909
ENSG00000005206,SPPL2B,,,488.20813222313905,0.531062466391679,0.14441061609170402,3.67744755035491,0.00023557949577010601,0.00107988824117369
ENSG00000005238,FAM214B,,,287.715910805122,-0.19425784379748498,0.125336679869242,-1.549888221071,0.12116834728349,0.239031718082036
ENSG00000005243,COPZ2,,,64.1700785574756,-0.669152661910637,0.18849269408942104,-3.55001908770634,0.000385203220624773,0.00168236885312353
ENSG00000005249,PRKAR2B,,,656.069697349638,0.153335363939426,0.0747826406543275,2.0504138740994398,0.0403240604354442,0.0986476436556024
ENSG00000005302,MSL3,GO:0072487,MSL complex,1012.65047580604,-0.353361345429155,0.0797177278267481,-4.43265701447388,9.307887209889239e-06,5.5311335372249096e-05
ENSG00000005339,CREBBP,,,3401.4428810499894,0.23808386755140398,0.0752119620676274,3.16550533992623,0.00154813820181139,0.00587327749999012
ENSG00000005379,TSPOAP1,,,0.935170780240511,1.74616643040786,2.34173779204186,0.745671200397422,0.455866060517831,
ENSG00000005381,MPO,,,0.0,,,,,
ENSG00000005421,PON1,,,2.7431487115894706,-0.0894323615017787,1.58678462354843,-0.0563607437169302,0.9550544291963321,0.9866663289279429
ENSG00000005436,GCFC2,GO:0071008,U2-type post-mRNA release spliceosomal complex,630.007662247914,-0.303117105667712,0.0913026598496606,-3.3199153909297503,0.000900447337639951,0.00360775822495704
ENSG00000005448,WDR54,,,1404.63114561113,0.0633559318726213,0.0540990517457655,1.1711098407114,0.241554628822886,0.40236914746048397
ENSG00000005469,CROT,,,521.558378136393,-0.0032727686455087,0.0871715246829135,-0.0375440105861794,0.9700512494917379,0.995883976123639
ENSG00000005471,ABCB4,GO:1903413,cellular response to bile acid,8.66877390032078,1.5784308605232,0.8462160953799058,1.86528106607871,0.0621420176799082,0.14092074329556
ENSG00000005483,KMT2E,GO:0046872,metal ion binding,1966.7561831616501,0.13436738581813798,0.0954800072924358,1.40728294465456,0.159343504648739,0.294081730935143
ENSG00000005486,RHBDD2,GO:1990381,ubiquitin-specific protease binding,1590.3282313137197,-0.16126104591374402,0.0870022219628099,-1.85352790165149,0.0638067307713877,0.144116523632052
ENSG00000005513,SOX8,,,44.885294915722596,0.664283235944636,0.37644557661580397,1.76461958171073,0.0776277222198257,0.16838907598671202
ENSG00000005700,IBTK,GO:0005654,nucleoplasm,3385.31436069839,-0.483154800166913,0.065962166526702,-7.324726060526349,2.39387208609543e-13,3.29917680660252e-12
ENSG00000005801,ZNF195,GO:0046872,metal ion binding,729.9935810874789,0.123062258801098,0.0726356270809983,1.69424101844495,0.0902194933090758,0.189532609826564
ENSG00000005810,MYCBP2,,,2651.28012161001,0.0540258121914766,0.157569094396915,0.342870614305787,0.7316957995859159,0.849038033060819
ENSG00000005812,FBXL3,,,1763.55043832712,-0.11952802695118599,0.0515330844641253,-2.31944251337014,0.0203710547546587,0.0556333275242608
ENSG00000005844,ITGAL,,,22.420682841512104,0.23047383161163104,0.659009344592921,0.349727714034158,0.7265430527441781,0.845493682503092
ENSG00000005882,PDK2,GO:0010565,regulation of cellular ketone metabolic process,701.7318041589059,0.17155751963156302,0.122605605266896,1.39926326580343,0.16173405095102802,0.29739420286322804
ENSG00000005884,ITGA3,,,21097.9297873271,-0.0539130028571052,0.0463521371193133,-1.1631179532958702,0.24478164892031196,0.40633355902078705
