,SYMBOL,GO_accession,GO_term,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003,TSPAN6,GO:0016020,membrane,2714.84443410421,0.0400142440299216,0.0559664795194077,0.714968037538358,0.474628793600101,0.64126413817826
ENSG00000000005,TNMD,,,2.3621813963180096,0.0,2.1209620877873303,0.0,1.0,1.0
ENSG00000000419,DPM1,GO:0004582,dolichyl-phosphate beta-D-mannosyltransferase activity,1428.9386449204,-0.0292850086752396,0.0658753115621324,-0.4445521088369871,0.6566434634716961,0.7912411266289922
ENSG00000000457,SCYL3,GO:0000139,Golgi membrane,298.339051163745,0.0989951855302149,0.11294786046592699,0.876468001446376,0.380775664510258,0.550933641113816
ENSG00000000460,C1orf112,,,984.958776127603,0.0572541091815038,0.0776221383648928,0.7376002566736659,0.460757399403646,0.628132400476697
ENSG00000000938,FGR,GO:0043306,positive regulation of mast cell degranulation,0.0,,,,,
ENSG00000000971,CFH,,,1531.3092401221697,0.56938672184501,0.0784856713374513,7.25465823432811,4.02677280752104e-13,5.16743063004062e-12
ENSG00000001036,FUCA2,,,2817.2936680022804,-0.227442797221304,0.0526784355756737,-4.31756931913018,1.57756871847814e-05,8.726638097183679e-05
ENSG00000001084,GCLC,,,6758.638382715911,-0.216681286810787,0.0608650297236955,-3.5600292613745297,0.00037081347247949504,0.00159071648313915
ENSG00000001167,NFYA,GO:0032993,protein-DNA complex,1542.52741829531,0.130982054195384,0.0765557385757673,1.71093711107954,0.0870927228869473,0.18015040145581498
ENSG00000001460,STPG1,GO:1902110,positive regulation of mitochondrial membrane permeability involved in apoptotic process,353.59528680760496,-0.000488574243726992,0.11453398552847599,-0.004265757813915579,0.9965964280224459,1.0
ENSG00000001461,NIPAL3,GO:1903830,magnesium ion transmembrane transport,804.5113591178681,0.0612297767017854,0.0816030026863173,0.7503372999294309,0.453051583181776,0.620916565781723
ENSG00000001497,LAS1L,,,4214.61721072671,-0.0958431078832579,0.0540827649052088,-1.7721562137446698,0.0763686297420342,0.16230425369843302
ENSG00000001561,ENPP4,GO:0046130,purine ribonucleoside catabolic process,424.746294943851,1.14633290710189,0.09635213743391302,11.897327216930199,1.2219845457393998e-32,4.569280081460939e-31
ENSG00000001617,SEMA3F,,,185.34557422227002,-2.38950687528732,0.253171417034588,-9.43829640516199,3.7888925300970705e-21,8.1352653413152e-20
ENSG00000001626,CFTR,,,5.65385299078766,1.00734775498461,1.1215036772996498,0.898211727143063,0.36907268248411296,0.538632492624393
ENSG00000001629,ANKIB1,,,1995.8180798736898,0.0103137135603708,0.10485625544211802,0.0983604985404436,0.9216460401299721,0.9659914321326659
ENSG00000001630,CYP51A1,,,5807.1963648705105,0.031490702045567004,0.0354635975950758,0.8879725741626251,0.37455550413319394,0.544460298137769
ENSG00000001631,KRIT1,GO:2000352,negative regulation of endothelial cell apoptotic process,1028.50404009369,-0.516166972081938,0.118645521181539,-4.350496899854741,1.3582937574825699e-05,7.58235073151237e-05
